,id_consommation,annee_consommation,surface_declaree,nombre_declaration,consommation_declaree,densite_energetique,coordonnees_gps,consommation_log,consommation_etat,id_zone_climatique,id_vecteur_energie,id_commune,nom_commune,id_departement,nom_departement,id_region,nom_region,zone_climatique,vecteur_energie
23,24,Année de référence,6552,3,2353434,359.1932234432234,"(49.112119199999995, -0.1891657150797776)",14.671386521001317,Normale,3,2,24,MOULT CHICHEBOVILLE,8,Calvados,4,Normandie,H1a,Inconnu
24,25,Année de référence,14037,3,3176533,226.29714326423024,"(49.2681582, -0.6728343)",14.971301223236038,Normale,3,1,25,SAINT MARTIN DES ENTREES,8,Calvados,4,Normandie,H1a,Electricite
25,26,Année de référence,3494,5,514415,147.22810532341157,"(49.1033408, 0.6132492)",13.150787555620887,Normale,3,1,26,MENNEVAL,9,Eure,4,Normandie,H1a,Electricite
26,27,Année de référence,6665,4,711183,106.70412603150788,"(49.6948768, 0.5941406)",13.474686465740914,Normale,3,1,27,NORMANVILLE,9,Eure,4,Normandie,H1a,Electricite
27,28,Année de référence,8060,3,972738,120.68709677419356,"(48.79436, 0.2954592)",13.787871082635856,Normale,3,2,28,GACE,10,Orne,4,Normandie,H1a,Inconnu
28,29,Année de référence,9404,4,3077707,327.2763717566993,"(48.5352175, -0.46728879827175207)",14.9396957220842,Normale,3,2,29,RIVES D ANDAINE,10,Orne,4,Normandie,H1a,Inconnu
29,30,Année de référence,19087,5,6730235,352.608319798816,"(49.7855019, 1.2294846)",15.722120767870868,Normale,3,2,30,LES GRANDES VENTES,11,Seine-Maritime,4,Normandie,H1a,Inconnu
30,31,Année de référence,5784,5,814369,140.79685338865838,"(49.5294347, 0.9919251)",13.610170087164732,Normale,3,1,31,PISSY POVILLE,11,Seine-Maritime,4,Normandie,H1a,Electricite
31,32,Année de référence,5928,3,998741,168.4785762483131,"(49.9054443, 1.0941481)",13.814251766018025,Normale,3,2,32,ROUXMESNIL BOUTEILLES,11,Seine-Maritime,4,Normandie,H1a,Inconnu
32,33,Année de référence,11914,3,4517209,379.151334564378,"(49.6724119, 1.2830403)",15.323405104589938,Normale,3,2,33,SAINT SAENS,11,Seine-Maritime,4,Normandie,H1a,Inconnu
33,34,Année de référence,10711,3,633978,59.1894314256372,"(49.356047, 2.7895045)",13.359771109842391,Normale,3,2,34,LACROIX SAINT OUEN,12,Oise,5,Hauts-de-France,H1a,Inconnu
34,35,Année de référence,975,3,458521,470.27794871794873,"(49.5032677, 1.9957762)",13.035763552079333,Anormale,3,1,35,MILLY SUR THERAIN,12,Oise,5,Hauts-de-France,H1a,Electricite
35,36,Année de référence,17640,4,7843664,444.65215419501135,"(50.3020523, 2.8375271)",15.875216757584228,Anormale,3,2,36,ATHIES,13,Pas-de-Calais,5,Hauts-de-France,H1a,Inconnu
36,37,Année de référence,5450,3,319134,58.55669724770642,"(50.3059788, 2.6881101)",12.673369489736343,Normale,3,1,37,DUISANS,13,Pas-de-Calais,5,Hauts-de-France,H1a,Electricite
37,38,Année de référence,1485,6,142890,96.22222222222224,"(50.3329457, 2.9304367)",11.869837380828898,Normale,3,1,38,FRESNES LES MONTAUBAN,13,Pas-de-Calais,5,Hauts-de-France,H1a,Electricite
38,39,Année de référence,6869,3,2193130,319.2793710874945,"(50.3738592, 2.0183811)",14.600840761138048,Normale,3,2,39,MARCONNELLE,13,Pas-de-Calais,5,Hauts-de-France,H1a,Inconnu
39,40,Année de référence,16245,3,3814302,234.79852262234533,"(50.7641091, 1.6303277)",15.154268506140102,Normale,3,2,40,WIMILLE,13,Pas-de-Calais,5,Hauts-de-France,H1a,Inconnu
40,41,Année de référence,22741,4,1142718,50.24924145815927,"(49.2845383, 4.0535127)",13.948921068282823,Normale,3,1,41,BETHENY,14,Marne,6,Grand-Est,H1a,Electricite
41,42,Année de référence,9224,12,598399,64.87413269731137,"(48.1197799, -1.6038829)",13.302014705642405,Normale,3,1,42,CESSON SEVIGNE,15,Ille-et-Vilaine,7,Bretagne,H1a,Electricite
42,43,Année de référence,18588,4,6229489,335.13497955670323,"(47.81775695, -2.1362362244234725)",15.644805025454495,Normale,3,1,43,CARENTOIR,16,Morbihan,7,Bretagne,H1a,Electricite
43,44,Année de référence,2012,3,236828,117.70775347912524,"(43.6044622, 1.4442469)",12.37509364070983,Normale,3,1,44,TOULOUSE,17,Haute-Garonne,8,Occitanie,H1a,Electricite
44,45,Année de référence,5372,3,538458,100.23417721518987,"(45.7969952, 4.8423304)",13.196466635261224,Normale,3,2,45,CALUIRE ET CUIRE,18,Rhône,9,Auvergne-Rhône-Alpes,H1a,Inconnu
45,46,Année de référence,358841,26,8493116,23.66818730301164,"(48.8841522, 2.2368863)",15.954766628718122,Normale,4,1,46,PUTEAUX,19,Hauts-de-Seine,3,Île-de-France,H1b,Electricite
46,47,Année de référence,44940,3,1736349,38.63704939919893,"(47.8849389, 6.2731365)",14.367295766784508,Normale,4,2,47,SAINT LOUP SUR SEMOUSE,20,Haute-Saône,10,Bourgogne-Franche-Comté,H1b,Inconnu
47,48,Année de référence,11169,3,2906235,260.2054794520548,"(49.49497, 4.36469)",14.8823693311019,Normale,4,2,48,SAULT LES RETHEL,21,Ardennes,6,Grand-Est,H1b,Inconnu
48,49,Année de référence,20349,3,3611399,177.47304535849426,"(49.055833500000006, 4.0150810116635745)",15.099606066763917,Normale,4,2,49,AY CHAMPAGNE,14,Marne,6,Grand-Est,H1b,Inconnu
