annee_consommation,zone_climatique,code_region,nom_region,code_departement,nom_departement,nom_commune,vecteur_energie,consommation_declaree
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,CESSON,Gaz,1650802
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,CHAMPS SUR MARNE,Electricite,18943312
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,CHAMPS SUR MARNE,Gaz,18284887
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,CHANTELOUP EN BRIE,Electricite,4392106
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,CHANTELOUP EN BRIE,Gaz,1665292
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,CHATRES,Electricite,9706683
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,CHATRES,Gaz,15704028
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,CHAUCONIN NEUFMONTIERS,Electricite,5071260
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,CHELLES,Electricite,16125881
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,CHELLES,Gaz,15167916
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,CHELLES,Reseau de chaleur,172480
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,CHESSY,Electricite,180528005
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,CHESSY,Fioul,2783057
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,CHESSY,Gaz,101627957
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,CHESSY,Reseau de chaleur,3152156
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,CLAYE SOUILLY,Electricite,24166556
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,CLAYE SOUILLY,Gaz,8211202
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,COLLEGIEN,Electricite,41390815
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,COLLEGIEN,Gaz,1418252
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,COMBS LA VILLE,Electricite,5947340
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,COMBS LA VILLE,Gaz,9800762
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,COMPANS,Electricite,9206957
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,COMPANS,Gaz,11886696
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,COUILLY PONT AUX DAMES,Electricite,2005065
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,COULOMMIERS,Electricite,13444452
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,COULOMMIERS,Gaz,7070472
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,COULOMMIERS,Reseau de chaleur,1210440
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,CRECY LA CHAPELLE,Electricite,696491
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,CRECY LA CHAPELLE,Gaz,2407006
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,CREGY LES MEAUX,Electricite,1562069
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,CREGY LES MEAUX,Gaz,3538481
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,CROISSY BEAUBOURG,Electricite,36648872
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,CROISSY BEAUBOURG,Gaz,6833372
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,DAMMARIE LES LYS,Electricite,7338507
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,DAMMARIE LES LYS,Gaz,6538470
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,EMERAINVILLE,Electricite,14359179
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,EMERAINVILLE,Gaz,5040757
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,FERRIERES EN BRIE,Electricite,12965290
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,FONTAINEBLEAU,Electricite,20534276
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,FONTAINEBLEAU,Gaz,11336051
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,FONTENAY TRESIGNY,Electricite,4641418
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,FONTENAY TRESIGNY,Gaz,5472109
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,GRETZ ARMAINVILLIERS,Electricite,3085164
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,GUIGNES,Electricite,1476965
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,GUIGNES,Gaz,1107385
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,LA FERTE GAUCHER,Electricite,1774918
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,LA FERTE SOUS JOUARRE,Electricite,2965439
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,LA FERTE SOUS JOUARRE,Gaz,4279404
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,LAGNY SUR MARNE,Electricite,8092245
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,LAGNY SUR MARNE,Gaz,10399556
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,LE CHATELET EN BRIE,Electricite,381516
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,LE CHATELET EN BRIE,Gaz,907464
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,LE MEE SUR SEINE,Electricite,317086
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,LE MEE SUR SEINE,Gaz,728715
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,LE MESNIL AMELOT,Electricite,20849262
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,LE MESNIL AMELOT,Gaz,5299098
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,LIEUSAINT,Electricite,62085007
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,LIEUSAINT,Gaz,10570864
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,LOGNES,Electricite,21950943
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,LOGNES,Gaz,6850083
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,MAGNY LE HONGRE,Electricite,14047141
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,MAGNY LE HONGRE,Gaz,16142308
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,MAREUIL LES MEAUX,Electricite,3026721
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,MAREUIL LES MEAUX,Gaz,1972886
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,MAROLLES SUR SEINE,Electricite,1215733
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,MAUREGARD,Electricite,218404
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,MEAUX,Electricite,18176154
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,MEAUX,Gaz,25119434
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,MELUN,Electricite,17174198
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,MELUN,Fioul,779455
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,MELUN,Gaz,25550870
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,MELUN,Reseau de chaleur,2937398
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,MITRY MORY,Electricite,22210528
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,MITRY MORY,Gaz,19576305
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,MOISSY CRAMAYEL,Electricite,10245733
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,MOISSY CRAMAYEL,Gaz,5972326
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,MONTEREAU FAULT YONNE,Electricite,8592708
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,MONTEREAU FAULT YONNE,Gaz,8932938
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,MONTEREAU FAULT YONNE,Reseau de chaleur,1322860
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,MONTEREAU SUR LE JARD,Electricite,763010
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,MONTEVRAIN,Electricite,5104480
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,MONTEVRAIN,Gaz,4034543
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,MORET LOING ET ORVANNE,Electricite,3455087
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,MORET LOING ET ORVANNE,Gaz,1955965
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,MORMANT,Electricite,4523982
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,MORMANT,Gaz,1991473
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,MOUROUX,Electricite,1758218
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,MOUROUX,Gaz,3693596
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,MOUSSY LE NEUF,Electricite,22831756
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,MOUSSY LE NEUF,Gaz,1222573
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,NANDY,Electricite,981757
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,NANGIS,Electricite,4050784
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,NANGIS,Gaz,11382161
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,NANTEUIL LES MEAUX,Electricite,3974315
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,NANTEUIL LES MEAUX,Gaz,2644463
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,NEMOURS,Electricite,10090693
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,NEMOURS,Gaz,4930424
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,NOISIEL,Electricite,18411132
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,NOISIEL,Gaz,13490462
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,OCQUERRE,Electricite,1099812
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,OZOIR LA FERRIERE,Electricite,3555839
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,OZOIR LA FERRIERE,Gaz,3967684
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,PERTHES,Electricite,89290
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,PERTHES,Gaz,132427
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,POINCY,Electricite,1395940
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,PONTAULT COMBAULT,Electricite,17615792
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,PONTAULT COMBAULT,Gaz,5472499
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,PROVINS,Electricite,9560481
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,PROVINS,Gaz,16781049
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,QUINCY VOISINS,Electricite,342640
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,REAU,Electricite,9879076
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,REAU,Gaz,7969589
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,ROISSY EN BRIE,Electricite,8412282
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,ROISSY EN BRIE,Gaz,6638370
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,RUBELLES,Electricite,1552734
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,SAINT FARGEAU PONTHIERRY,Electricite,3024561
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,SAINT FARGEAU PONTHIERRY,Gaz,3474356
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,SAINT MARD,Electricite,3524516
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,SAINT PIERRE LES NEMOURS,Electricite,1715230
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,SAINT PIERRE LES NEMOURS,Gaz,1870706
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,SAINT SOUPPLETS,Electricite,626941
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,SAINT SOUPPLETS,Gaz,1705828
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,SAINT THIBAULT DES VIGNES,Electricite,10572009
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,SAINT THIBAULT DES VIGNES,Gaz,25597034
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,SAMOREAU,Electricite,884079
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,SAMOREAU,Gaz,615764
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,SAVIGNY LE TEMPLE,Electricite,11704853
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,SAVIGNY LE TEMPLE,Gaz,17259522
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,SERRIS,Electricite,34598175
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,SERRIS,Gaz,10133902
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,SERVON,Electricite,2933515
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,SERVON,Gaz,4248235
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,TORCY,Electricite,8613836
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,TORCY,Gaz,5542191
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,TORCY,Reseau de chaleur,2020582
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,TOURNAN EN BRIE,Electricite,893161
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,URY,Electricite,1963598
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,VAIRES SUR MARNE,Electricite,2827009
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,VAIRES SUR MARNE,Gaz,2582321
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,VARENNES SUR SEINE,Electricite,8493396
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,VARENNES SUR SEINE,Gaz,2800309
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,VAUX LE PENIL,Electricite,6932882
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,VAUX LE PENIL,Gaz,4537356
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,VERT SAINT DENIS,Electricite,13183760
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,VERT SAINT DENIS,Gaz,3001626
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,VILLEPARISIS,Electricite,11799081
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,VILLEPARISIS,Gaz,8007792
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,VILLIERS EN BIERE,Electricite,13012439
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,VULAINES SUR SEINE,Electricite,1561783
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,VULAINES SUR SEINE,Gaz,383245
Année de référence,H1a,11,Île-de-France,78,Yvelines,ABLIS,Gaz,1138451
Année de référence,H1a,11,Île-de-France,78,Yvelines,ACHERES,Electricite,5161099
Année de référence,H1a,11,Île-de-France,78,Yvelines,ACHERES,Gaz,1110124
Année de référence,H1a,11,Île-de-France,78,Yvelines,ANDRESY,Electricite,3336393
Année de référence,H1a,11,Île-de-France,78,Yvelines,ANDRESY,Gaz,5652451
Année de référence,H1a,11,Île-de-France,78,Yvelines,AUBERGENVILLE,Electricite,7362273
Année de référence,H1a,11,Île-de-France,78,Yvelines,AUBERGENVILLE,Fioul,1496019
Année de référence,H1a,11,Île-de-France,78,Yvelines,AUBERGENVILLE,Gaz,4483625
Année de référence,H1a,11,Île-de-France,78,Yvelines,BAILLY,Electricite,809858
Année de référence,H1a,11,Île-de-France,78,Yvelines,BAILLY,Gaz,3613723
Année de référence,H1a,11,Île-de-France,78,Yvelines,BEYNES,Electricite,1732335
Année de référence,H1a,11,Île-de-France,78,Yvelines,BEYNES,Gaz,2740858
Année de référence,H1a,11,Île-de-France,78,Yvelines,BONNIERES SUR SEINE,Electricite,2084991
Année de référence,H1a,11,Île-de-France,78,Yvelines,BONNIERES SUR SEINE,Gaz,3034637
Année de référence,H1a,11,Île-de-France,78,Yvelines,BOUAFLE,Electricite,104794
Année de référence,H1a,11,Île-de-France,78,Yvelines,BOUAFLE,Gaz,583526
Année de référence,H1a,11,Île-de-France,78,Yvelines,BUC,Electricite,2820709
Année de référence,H1a,11,Île-de-France,78,Yvelines,BUC,Gaz,4526309
Année de référence,H1a,11,Île-de-France,78,Yvelines,BUCHELAY,Electricite,15063316
