annee_consommation,zone_climatique,code_region,code_departement,nom_commune,nombre_declaration,surface_declaree,consommation_declaree,vecteur_energie
Année de référence,H1a,11,77,OZOIR LA FERRIERE,20,56240,7563403,Electricite
Année de référence,H1a,11,77,OZOIR LA FERRIERE,20,56240,7563403,Gaz
Année de référence,H1a,11,77,PERTHES,5,2446,221717,Electricite
Année de référence,H1a,11,77,PERTHES,5,2446,221717,Gaz
Année de référence,H1a,11,77,POINCY,5,45777,2632540,Electricite
Année de référence,H1a,11,77,PONTAULT COMBAULT,47,101111,23088291,Electricite
Année de référence,H1a,11,77,PONTAULT COMBAULT,47,101111,23088291,Gaz
Année de référence,H1a,11,77,PROVINS,48,114075,26341530,Electricite
Année de référence,H1a,11,77,PROVINS,48,114075,26341530,Gaz
Année de référence,H1a,11,77,QUINCY VOISINS,3,21706,1303347,Electricite
Année de référence,H1a,11,77,REAU,5,242706,17848665,Electricite
Année de référence,H1a,11,77,REAU,5,242706,17848665,Gaz
Année de référence,H1a,11,77,ROISSY EN BRIE,37,110347,15666651,Electricite
Année de référence,H1a,11,77,ROISSY EN BRIE,37,110347,15666651,Gaz
Année de référence,H1a,11,77,RUBELLES,5,10877,2064371,Electricite
Année de référence,H1a,11,77,SAINT FARGEAU PONTHIERRY,4,31265,6498917,Electricite
Année de référence,H1a,11,77,SAINT FARGEAU PONTHIERRY,4,31265,6498917,Gaz
Année de référence,H1a,11,77,SAINT MARD,4,116652,8837158,Electricite
Année de référence,H1a,11,77,SAINT PIERRE LES NEMOURS,6,18710,3585936,Electricite
Année de référence,H1a,11,77,SAINT PIERRE LES NEMOURS,6,18710,3585936,Gaz
Année de référence,H1a,11,77,SAINT SOUPPLETS,3,9071,2332769,Electricite
Année de référence,H1a,11,77,SAINT SOUPPLETS,3,9071,2332769,Gaz
Année de référence,H1a,11,77,SAMOREAU,8,14518,2109440,Electricite
Année de référence,H1a,11,77,SAMOREAU,8,14518,2109440,Gaz
Année de référence,H1a,11,77,SAVIGNY LE TEMPLE,43,221767,28964374,Electricite
Année de référence,H1a,11,77,SAVIGNY LE TEMPLE,43,221767,28964374,Gaz
Année de référence,H1a,11,77,SERVON,9,41738,7181750,Electricite
Année de référence,H1a,11,77,SERVON,9,41738,7181750,Gaz
Année de référence,H1a,11,77,TORCY,44,115588,16176609,Electricite
Année de référence,H1a,11,77,TORCY,44,115588,16176609,Gaz
Année de référence,H1a,11,77,TORCY,44,115588,16176609,Reseau de chaleur
Année de référence,H1a,11,77,TOURNAN EN BRIE,3,5954,1163500,Electricite
Année de référence,H1a,11,77,URY,3,14293,3327645,Electricite
Année de référence,H1a,11,77,VAIRES SUR MARNE,19,35214,5409330,Electricite
Année de référence,H1a,11,77,VAIRES SUR MARNE,19,35214,5409330,Gaz
Année de référence,H1a,11,77,VARENNES SUR SEINE,16,38945,11293705,Electricite
Année de référence,H1a,11,77,VARENNES SUR SEINE,16,38945,11293705,Gaz
Année de référence,H1a,11,77,VAUX LE PENIL,18,125517,11470238,Electricite
Année de référence,H1a,11,77,VAUX LE PENIL,18,125517,11470238,Gaz
Année de référence,H1a,11,77,VERT SAINT DENIS,24,184556,16250190,Electricite
Année de référence,H1a,11,77,VERT SAINT DENIS,24,184556,16250190,Gaz
Année de référence,H1a,11,77,VILLENOY,3,2372,244282,Non spécifié
Année de référence,H1a,11,77,VILLEPARISIS,31,107065,19806873,Electricite
Année de référence,H1a,11,77,VILLEPARISIS,31,107065,19806873,Gaz
Année de référence,H1a,11,77,VILLIERS EN BIERE,20,50277,16929793,Electricite
Année de référence,H1a,11,77,VULAINES SUR SEINE,3,7708,1945028,Electricite
Année de référence,H1a,11,77,VULAINES SUR SEINE,3,7708,1945028,Gaz
Année de référence,H1a,11,78,ABLIS,5,18123,4885000,Gaz
Année de référence,H1a,11,78,ACHERES,38,44727,6271223,Electricite
Année de référence,H1a,11,78,ACHERES,38,44727,6271223,Gaz
Année de référence,H1a,11,78,ANDRESY,15,42463,8988844,Electricite
Année de référence,H1a,11,78,ANDRESY,15,42463,8988844,Gaz
Année de référence,H1a,11,78,AUBERGENVILLE,49,90021,15861870,Electricite
Année de référence,H1a,11,78,AUBERGENVILLE,49,90021,15861870,Fioul
Année de référence,H1a,11,78,AUBERGENVILLE,49,90021,15861870,Gaz
Année de référence,H1a,11,78,BAILLY,4,15742,4715961,Electricite
Année de référence,H1a,11,78,BAILLY,4,15742,4715961,Gaz
Année de référence,H1a,11,78,BEYNES,10,29971,4473193,Electricite
Année de référence,H1a,11,78,BEYNES,10,29971,4473193,Gaz
Année de référence,H1a,11,78,BOIS D ARCY,4,23602,3819060,Non spécifié
Année de référence,H1a,11,78,BONNIERES SUR SEINE,4,26731,5119628,Electricite
Année de référence,H1a,11,78,BONNIERES SUR SEINE,4,26731,5119628,Gaz
Année de référence,H1a,11,78,BOUAFLE,5,3263,688320,Electricite
Année de référence,H1a,11,78,BOUAFLE,5,3263,688320,Gaz
Année de référence,H1a,11,78,BUC,15,46150,7695968,Electricite
Année de référence,H1a,11,78,BUC,15,46150,7695968,Gaz
Année de référence,H1a,11,78,BUCHELAY,28,95076,16572270,Electricite
Année de référence,H1a,11,78,BUCHELAY,28,95076,16572270,Gaz
Année de référence,H1a,11,78,CARRIERES SOUS POISSY,17,39051,8118331,Bois
Année de référence,H1a,11,78,CARRIERES SOUS POISSY,17,39051,8118331,Electricite
Année de référence,H1a,11,78,CARRIERES SOUS POISSY,17,39051,8118331,Gaz
Année de référence,H1a,11,78,CARRIERES SUR SEINE,25,59160,10679330,Electricite
Année de référence,H1a,11,78,CARRIERES SUR SEINE,25,59160,10679330,Gaz
Année de référence,H1a,11,78,CARRIERES SUR SEINE,25,59160,10679330,Reseau de chaleur
Année de référence,H1a,11,78,CERNAY LA VILLE,3,5021,593773,Electricite
Année de référence,H1a,11,78,CERNAY LA VILLE,3,5021,593773,Gaz
Année de référence,H1a,11,78,CHAMBOURCY,36,69976,18119377,Electricite
Année de référence,H1a,11,78,CHAMBOURCY,36,69976,18119377,Gaz
Année de référence,H1a,11,78,CHANTELOUP LES VIGNES,16,87954,15088662,Electricite
Année de référence,H1a,11,78,CHANTELOUP LES VIGNES,16,87954,15088662,Gaz
Année de référence,H1a,11,78,CHANTELOUP LES VIGNES,16,87954,15088662,Reseau de chaleur
Année de référence,H1a,11,78,CHATOU,38,91386,18359894,Electricite
Année de référence,H1a,11,78,CHATOU,38,91386,18359894,Fioul
Année de référence,H1a,11,78,CHATOU,38,91386,18359894,Gaz
Année de référence,H1a,11,78,CHEVREUSE,3,17959,4677174,Electricite
Année de référence,H1a,11,78,CHEVREUSE,3,17959,4677174,Gaz
Année de référence,H1a,11,78,COIGNIERES,30,80289,10365999,Electricite
Année de référence,H1a,11,78,COIGNIERES,30,80289,10365999,Gaz
Année de référence,H1a,11,78,CONFLANS SAINTE HONORINE,66,171387,34507888,Electricite
Année de référence,H1a,11,78,CONFLANS SAINTE HONORINE,66,171387,34507888,Gaz
Année de référence,H1a,11,78,CROISSY SUR SEINE,16,44809,8738903,Electricite
Année de référence,H1a,11,78,CROISSY SUR SEINE,16,44809,8738903,Gaz
Année de référence,H1a,11,78,ECQUEVILLY,23,28896,5491677,Electricite
Année de référence,H1a,11,78,ECQUEVILLY,23,28896,5491677,Gaz
Année de référence,H1a,11,78,EPONE,12,23367,3115758,Electricite
Année de référence,H1a,11,78,EPONE,12,23367,3115758,Fioul
Année de référence,H1a,11,78,EPONE,12,23367,3115758,Gaz
Année de référence,H1a,11,78,FLINS SUR SEINE,11,28776,9129126,Electricite
Année de référence,H1a,11,78,FLINS SUR SEINE,11,28776,9129126,Gaz
Année de référence,H1a,11,78,FOLLAINVILLE DENNEMONT,3,1817,251502,Non spécifié
Année de référence,H1a,11,78,FONTENAY LE FLEURY,5,10850,1484036,Electricite
Année de référence,H1a,11,78,FONTENAY SAINT PERE,3,1405,190372,Electricite
Année de référence,H1a,11,78,GARGENVILLE,3,17140,2355236,Electricite
Année de référence,H1a,11,78,GAZERAN,8,12099,1718595,Electricite
Année de référence,H1a,11,78,GAZERAN,8,12099,1718595,Non spécifié
Année de référence,H1a,11,78,HARDRICOURT,3,6607,2053718,Electricite
