annee_consommation,zone_climatique,nom_region,nom_departement,nom_commune,nombre_declaration,surface_declaree,consommation_declaree,vecteur_energie
2020,H2a,Bretagne,Morbihan,ALLAIRE,3,7223,1078034,Inconnu
2020,H2a,Bretagne,Morbihan,CRACH,3,6476,1654558,Inconnu
2020,H2b,Île-de-France,Hauts-de-Seine,PUTEAUX,11,102825,1787105,Electricite
2020,H2b,Centre-Val de Loire,Cher,SANCERRE,3,10812,1555423,Inconnu
2020,H2b,Hauts-de-France,Aisne,SAINT QUENTIN,3,445,19996,Electricite
2020,H2b,Pays de la Loire,Loire-Atlantique,LE PELLERIN,3,5665,909216,Inconnu
2020,H2b,Pays de la Loire,Loire-Atlantique,LEGE,7,11624,479016,Electricite
2020,H2b,Pays de la Loire,Loire-Atlantique,MOUZEIL,6,4086,191779,Electricite
2020,H2b,Pays de la Loire,Sarthe,SAINTE JAMME SUR SARTHE,5,19213,2929431,Inconnu
2020,H2b,Pays de la Loire,Vendée,GRAND LANDES,7,1832,155462,Electricite
2020,H2b,Pays de la Loire,Vendée,LA GAUBRETIERE,3,9609,449831,Inconnu
2020,H2b,Pays de la Loire,Vendée,LA GENETOUZE,4,2348,119085,Electricite
2020,H2b,Pays de la Loire,Vendée,SAINT MICHEL EN L HERM,3,7067,455204,Inconnu
2020,H2b,Pays de la Loire,Vendée,SAINT PROUANT,4,17630,3032725,Inconnu
2020,H2b,Bretagne,Ille-et-Vilaine,CESSON SEVIGNE,6,1883,66853,Electricite
2020,H2b,Nouvelle-Aquitaine,Charente,LINARS,3,7393,1093812,Inconnu
2020,H2b,Nouvelle-Aquitaine,Charente-Maritime,SAINT SAUVEUR D AUNIS,3,7721,507170,Electricite
2020,H2b,Nouvelle-Aquitaine,Charente-Maritime,SAINTE MARIE DE RE,3,10611,1594928,Electricite
2020,H2b,Nouvelle-Aquitaine,Charente-Maritime,SAINTE SOULLE,3,14975,1617081,Electricite
2020,H2b,Nouvelle-Aquitaine,Deux-Sèvres,CHATILLON SUR THOUET,3,15762,725548,Inconnu
2020,H2b,Nouvelle-Aquitaine,Deux-Sèvres,FRESSINES,5,2660,209807,Electricite
2020,H2b,Nouvelle-Aquitaine,Deux-Sèvres,SAINT VARENT,5,10441,3459241,Inconnu
2020,H2b,Nouvelle-Aquitaine,Deux-Sèvres,SAUZE VAUSSAIS,4,11292,1710416,Inconnu
2020,H2b,Nouvelle-Aquitaine,Vienne,BONNEUIL MATOURS,3,1718,96128,Electricite
2020,H2b,Nouvelle-Aquitaine,Vienne,SAINT GENEST D AMBIERE,5,4999,808918,Inconnu
2020,H2b,Nouvelle-Aquitaine,Haute-Vienne,LIMOGES,3,5541,524650,Electricite
2020,H2c,Nouvelle-Aquitaine,Dordogne,SAINT LAURENT DES VIGNES,3,6694,610484,Inconnu
2020,H2c,Nouvelle-Aquitaine,Gironde,BEAUTIRAN,7,8712,1533505,Inconnu
2020,H2c,Nouvelle-Aquitaine,Gironde,BEGUEY,3,10238,1876579,Electricite
2020,H2c,Nouvelle-Aquitaine,Gironde,GRAYAN ET L HOPITAL,19,1235,77562,Electricite
2020,H2c,Nouvelle-Aquitaine,Gironde,LES ARTIGUES DE LUSSAC,7,2781,45633,Electricite
