annee_consommation,zone_climatique,nom_region,nom_departement,nom_commune,nombre_declaration,surface_declaree,consommation_declaree,vecteur_energie,coordonnees_gps,densite_energetique,consommation_log,consommation_etat
2020,H2b,Pays de la Loire,Loire-Atlantique,MOUZEIL,6,4086,191779,Electricite,"(47.4484305, -1.3485691)",46.93563387175722,12.164104160707673,Normale
2020,H2b,Pays de la Loire,Sarthe,SAINTE JAMME SUR SARTHE,5,19213,2929431,Inconnu,"(48.140451, 0.1700029)",152.47129547702076,14.89031910554533,Normale
2020,H2b,Pays de la Loire,Vendée,GRAND LANDES,7,1832,155462,Electricite,"(46.8216667, -1.6488889)",84.85917030567686,11.954163040166522,Normale
2020,H2b,Pays de la Loire,Vendée,LA GAUBRETIERE,3,9609,449831,Inconnu,"(46.9427746, -1.0647926)",46.813508169424495,13.01662945870693,Normale
2020,H2b,Pays de la Loire,Vendée,LA GENETOUZE,4,2348,119085,Electricite,"(45.2201951, -0.0270315)",50.71763202725724,11.687601200155294,Normale
2020,H2b,Pays de la Loire,Vendée,SAINT MICHEL EN L HERM,3,7067,455204,Inconnu,"(46.3552778, -1.2475)",64.4126220461299,13.028503145916709,Normale
2020,H2b,Pays de la Loire,Vendée,SAINT PROUANT,4,17630,3032725,Inconnu,"(46.7591667, -0.9558333)",172.02070334656835,14.924972442992093,Normale
2020,H2b,Bretagne,Ille-et-Vilaine,CESSON SEVIGNE,6,1883,66853,Electricite,"(48.1197799, -1.6038829)",35.503451938396175,11.110266416192525,Normale
2020,H2b,Nouvelle-Aquitaine,Charente,LINARS,3,7393,1093812,Inconnu,"(45.6570858, 0.0842416)",147.9523873934803,13.905180314995144,Normale
2020,H2b,Nouvelle-Aquitaine,Charente-Maritime,SAINT SAUVEUR D AUNIS,3,7721,507170,Electricite,"(46.216722, -0.8863543)",65.68708716487501,13.136603503814355,Normale
2020,H2b,Nouvelle-Aquitaine,Charente-Maritime,SAINTE MARIE DE RE,3,10611,1594928,Electricite,"(46.1491638, -1.3115373)",150.3089247007822,14.282339779103717,Normale
2020,H2b,Nouvelle-Aquitaine,Charente-Maritime,SAINTE SOULLE,3,14975,1617081,Electricite,"(46.188253, -1.0157986)",107.9853756260434,14.296133848467043,Normale
2020,H2b,Nouvelle-Aquitaine,Deux-Sèvres,CHATILLON SUR THOUET,3,15762,725548,Inconnu,"(46.6598371, -0.2362671)",46.03146808780612,13.494683888653524,Normale
2020,H2b,Nouvelle-Aquitaine,Deux-Sèvres,FRESSINES,5,2660,209807,Electricite,"(46.3221639, -0.2954875)",78.87481203007519,12.253948105771206,Normale
